Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80,recession
January 1985,0.0512,0.0394,0.0658,0
February 1985,0.0621,0.0489,0.078,0
March 1985,0.0914,0.0759,0.1091,0
April 1985,0.0677,0.0549,0.0828,0
May 1985,0.0446,0.0348,0.0568,0
June 1985,0.0575,0.0449,0.0729,0
July 1985,0.0609,0.0482,0.0764,0
August 1985,0.0375,0.0283,0.0489,0
September 1985,0.0315,0.0237,0.0412,0
October 1985,0.0263,0.0198,0.0347,0
November 1985,0.0219,0.0159,0.0298,0
December 1985,0.0213,0.0154,0.0291,0
January 1986,0.0184,0.0132,0.0254,0
February 1986,0.0232,0.0173,0.031,0
March 1986,0.0366,0.0283,0.0476,0
April 1986,0.0293,0.0223,0.0388,0
May 1986,0.0291,0.022,0.038,0
June 1986,0.0227,0.0169,0.0308,0
July 1986,0.0228,0.0167,0.0313,0
August 1986,0.0217,0.0161,0.0295,0
September 1986,0.0219,0.0162,0.0294,0
October 1986,0.0242,0.018,0.0323,0
November 1986,0.0259,0.0195,0.0343,0
December 1986,0.0213,0.0154,0.0291,0
January 1987,0.0467,0.0366,0.0592,0
February 1987,0.0952,0.0758,0.1191,0
March 1987,0.0525,0.0417,0.0655,0
April 1987,0.043,0.0337,0.0545,0
May 1987,0.0363,0.0278,0.0469,0
June 1987,0.0505,0.0398,0.0637,0
July 1987,0.0408,0.0316,0.0525,0
August 1987,0.0301,0.0222,0.0402,0
September 1987,0.0194,0.0139,0.0269,0
October 1987,0.0289,0.0219,0.0381,0
November 1987,0.0647,0.048,0.0884,0
December 1987,0.0638,0.051,0.0791,0
January 1988,0.0651,0.0521,0.0805,0
February 1988,0.0492,0.0389,0.062,0
March 1988,0.0225,0.0166,0.0302,0
April 1988,0.0176,0.0128,0.0242,0
May 1988,0.0209,0.0154,0.0282,0
June 1988,0.0125,0.0089,0.0177,0
July 1988,0.0161,0.0116,0.0222,0
August 1988,0.0095,0.0066,0.0139,0
September 1988,0.0073,0.0049,0.0109,0
October 1988,0.0054,0.0036,0.0084,0
November 1988,0.0061,0.004,0.0093,0
December 1988,0.0061,0.004,0.0093,0
January 1989,0.0071,0.0048,0.0108,0
February 1989,0.0068,0.0045,0.0102,0
March 1989,0.0059,0.004,0.009,0
April 1989,0.0055,0.0036,0.0085,0
May 1989,0.0039,0.0026,0.0063,0
June 1989,0.003,0.0019,0.005,0
July 1989,0.003,0.0019,0.0049,0
August 1989,0.0033,0.0021,0.0054,0
September 1989,0.003,0.0019,0.005,0
October 1989,0.003,0.0019,0.005,0
November 1989,0.0026,0.0016,0.0044,0
December 1989,0.002,0.0012,0.0035,0
January 1990,0.0022,0.0014,0.0038,0
February 1990,0.0027,0.0017,0.0045,0
March 1990,0.0018,0.0011,0.0032,0
April 1990,0.0014,0.0008,0.0025,0
May 1990,0.0015,0.0009,0.0027,0
June 1990,0.0014,0.0008,0.0025,0
July 1990,0.0011,0.0006,0.002,0
August 1990,0.0012,0.0007,0.0022,0
September 1990,0.0013,0.0008,0.0025,0
October 1990,0.0017,0.001,0.0031,0
November 1990,0.0012,0.0007,0.0022,0
December 1990,0.0017,0.001,0.003,0
January 1991,0.0093,0.0065,0.0138,0
February 1991,0.015,0.0108,0.0209,0
March 1991,0.034,0.026,0.044,0
April 1991,0.0319,0.0242,0.0415,0
May 1991,0.0293,0.0219,0.0388,0
June 1991,0.0292,0.0216,0.039,0
July 1991,0.077,0.061,0.0962,0
August 1991,0.1148,0.0959,0.1371,0
September 1991,0.1028,0.0851,0.1238,0
October 1991,0.0763,0.0606,0.0951,0
November 1991,0.0958,0.0768,0.1183,0
December 1991,0.0847,0.0674,0.1053,0
January 1992,0.1103,0.0902,0.1339,0
February 1992,0.1299,0.1072,0.157,0
March 1992,0.1973,0.1637,0.2379,1
April 1992,0.2772,0.2323,0.3275,1
May 1992,0.3276,0.2759,0.3843,1
June 1992,0.2746,0.2305,0.3239,1
July 1992,0.2776,0.2383,0.321,1
August 1992,0.4925,0.4358,0.5471,1
September 1992,0.7513,0.6919,0.7987,1
October 1992,0.8941,0.849,0.9224,1
November 1992,0.9239,0.8821,0.9469,1
December 1992,0.9066,0.8578,0.9345,1
January 1993,0.9001,0.8479,0.9304,1
February 1993,0.904,0.8539,0.9329,1
March 1993,0.9156,0.8676,0.9426,1
April 1993,0.8945,0.8393,0.9265,1
May 1993,0.8897,0.8329,0.9228,1
June 1993,0.8736,0.8127,0.9098,1
July 1993,0.9062,0.8542,0.9356,1
August 1993,0.8216,0.7507,0.8669,0
September 1993,0.781,0.7065,0.832,0
October 1993,0.8165,0.7455,0.8625,0
November 1993,0.718,0.6375,0.7759,0
December 1993,0.6809,0.6013,0.7414,0
January 1994,0.6439,0.5658,0.7059,0
February 1994,0.5332,0.4606,0.5976,0
March 1994,0.3991,0.3405,0.4596,0
April 1994,0.2372,0.1977,0.2836,0
May 1994,0.1511,0.1231,0.185,0
June 1994,0.0951,0.0761,0.1178,0
July 1994,0.0845,0.0672,0.1051,0
August 1994,0.0588,0.0453,0.0754,0
September 1994,0.0405,0.0305,0.0533,0
October 1994,0.0219,0.0157,0.0301,0
November 1994,0.0255,0.0185,0.0346,0
December 1994,0.0263,0.0191,0.0357,0
January 1995,0.0293,0.0215,0.0392,0
February 1995,0.0338,0.0251,0.0449,0
March 1995,0.035,0.0265,0.0455,0
