Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80,recession
January 1985,0.0561,0.0422,0.0724,0
February 1985,0.0731,0.0558,0.093,0
March 1985,0.1449,0.1181,0.1756,0
April 1985,0.1015,0.08,0.1264,0
May 1985,0.0666,0.0502,0.0857,0
June 1985,0.0739,0.056,0.0946,0
July 1985,0.0716,0.0546,0.0912,0
August 1985,0.0561,0.0418,0.0729,0
September 1985,0.0371,0.0273,0.0488,0
October 1985,0.0386,0.0294,0.0497,0
November 1985,0.03,0.0222,0.0397,0
December 1985,0.0356,0.0264,0.0466,0
January 1986,0.0304,0.0226,0.0398,0
February 1986,0.0274,0.0204,0.0361,0
March 1986,0.0471,0.036,0.0599,0
April 1986,0.064,0.0495,0.0804,0
May 1986,0.0288,0.0214,0.0377,0
June 1986,0.027,0.02,0.0356,0
July 1986,0.0255,0.0188,0.0339,0
August 1986,0.0177,0.0126,0.0243,0
September 1986,0.0144,0.01,0.0201,0
October 1986,0.0167,0.0117,0.023,0
November 1986,0.0169,0.0119,0.0233,0
December 1986,0.0133,0.0091,0.0188,0
January 1987,0.0215,0.0156,0.029,0
February 1987,0.0544,0.0425,0.0678,0
March 1987,0.0177,0.0124,0.0244,0
April 1987,0.015,0.0103,0.0209,0
May 1987,0.0127,0.0086,0.0181,0
June 1987,0.0173,0.012,0.024,0
July 1987,0.0136,0.0093,0.0193,0
August 1987,0.0092,0.006,0.0134,0
September 1987,0.006,0.0038,0.0091,0
October 1987,0.0091,0.006,0.0133,0
November 1987,0.0292,0.0204,0.0405,0
December 1987,0.0202,0.0141,0.0279,0
January 1988,0.0218,0.0152,0.0307,0
February 1988,0.0141,0.0097,0.0199,0
March 1988,0.0061,0.0039,0.0092,0
April 1988,0.0056,0.0035,0.0086,0
May 1988,0.0047,0.0029,0.0073,0
June 1988,0.0031,0.0018,0.005,0
July 1988,0.0034,0.002,0.0054,0
August 1988,0.0021,0.0012,0.0035,0
September 1988,0.0014,0.0007,0.0025,0
October 1988,0.0008,0.0004,0.0014,0
November 1988,0.0009,0.0005,0.0017,0
December 1988,0.001,0.0005,0.0019,0
January 1989,0.001,0.0005,0.0018,0
February 1989,0.001,0.0005,0.0018,0
March 1989,0.0012,0.0006,0.0021,0
April 1989,0.0012,0.0006,0.0021,0
May 1989,0.0011,0.0006,0.002,0
June 1989,0.0007,0.0003,0.0013,0
