Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80,recession
February 1985,0.1406,0.1095,0.1799,0
March 1985,0.2435,0.1965,0.2996,0
April 1985,0.1399,0.1108,0.1759,0
May 1985,0.1664,0.1299,0.2126,0
June 1985,0.0985,0.0755,0.1283,0
July 1985,0.1791,0.1401,0.2301,0
August 1985,0.221,0.1811,0.2679,0
September 1985,0.1259,0.0999,0.1587,0
October 1985,0.0549,0.0434,0.0674,0
November 1985,0.0215,0.0158,0.0289,0
December 1985,0.0237,0.0175,0.0314,0
January 1986,0.0473,0.0371,0.0588,0
February 1986,0.0421,0.0331,0.0525,0
March 1986,0.0786,0.0598,0.1006,0
April 1986,0.0687,0.0533,0.0859,0
May 1986,0.0403,0.0317,0.0502,0
June 1986,0.1304,0.1065,0.1574,0
July 1986,0.0313,0.0241,0.0397,0
August 1986,0.0127,0.0091,0.0174,0
September 1986,0.015,0.011,0.0203,0
October 1986,0.0176,0.0131,0.0235,0
November 1986,0.0143,0.0104,0.0195,0
December 1986,0.0141,0.0102,0.0192,0
January 1987,0.0183,0.0136,0.0242,0
February 1987,0.0294,0.0224,0.0376,0
March 1987,0.0166,0.0121,0.0223,0
April 1987,0.0065,0.0045,0.0093,0
May 1987,0.0144,0.0105,0.0196,0
June 1987,0.0233,0.0175,0.0304,0
July 1987,0.012,0.0086,0.0165,0
August 1987,0.0079,0.0055,0.0112,0
September 1987,0.0048,0.0032,0.007,0
October 1987,0.0075,0.0048,0.0113,0
November 1987,0.0554,0.0328,0.0873,0
December 1987,0.0236,0.0143,0.0361,0
January 1988,0.0317,0.0172,0.0525,0
February 1988,0.0184,0.0106,0.0293,0
March 1988,0.0063,0.0037,0.0102,0
April 1988,0.0037,0.0021,0.0062,0
May 1988,0.0037,0.0022,0.0061,0
June 1988,0.0042,0.0025,0.0068,0
July 1988,0.0021,0.0012,0.0037,0
August 1988,0.0016,0.0009,0.0027,0
September 1988,0.0018,0.001,0.0031,0
October 1988,0.0009,0.0005,0.0016,0
November 1988,0.0009,0.0005,0.0017,0
December 1988,0.0007,0.0004,0.0013,0
January 1989,0.0007,0.0004,0.0014,0
February 1989,0.0007,0.0004,0.0013,0
March 1989,0.0009,0.0005,0.0017,0
April 1989,0.0006,0.0003,0.0012,0
May 1989,0.0008,0.0004,0.0014,0
June 1989,0.0005,0.0003,0.001,0
July 1989,0.0006,0.0003,0.0011,0
August 1989,0.0007,0.0004,0.0013,0
September 1989,0.0007,0.0004,0.0014,0
October 1989,0.0015,0.0009,0.0027,0
November 1989,0.0009,0.0005,0.0016,0
December 1989,0.0011,0.0006,0.002,0
January 1990,0.0017,0.001,0.0029,0
February 1990,0.002,0.0012,0.0034,0
March 1990,0.0019,0.0011,0.0032,0
April 1990,0.0027,0.0017,0.0043,0
May 1990,0.0024,0.0015,0.0038,0
June 1990,0.0024,0.0015,0.0039,0
July 1990,0.0024,0.0015,0.0038,0
August 1990,0.0168,0.0114,0.0242,0
September 1990,0.0761,0.0557,0.1004,0
October 1990,0.1419,0.1069,0.1831,0
November 1990,0.0389,0.0303,0.0486,0
December 1990,0.0729,0.0591,0.0876,0
January 1991,0.24,0.1863,0.3009,0
February 1991,0.235,0.1982,0.275,0
March 1991,0.1912,0.1616,0.2236,0
April 1991,0.1007,0.0829,0.1199,0
May 1991,0.0715,0.0569,0.0873,0
June 1991,0.066,0.0526,0.0804,0
July 1991,0.093,0.0762,0.1109,0
August 1991,0.1074,0.0882,0.1291,0
September 1991,0.0617,0.0495,0.0757,0
October 1991,0.027,0.0202,0.0353,0
November 1991,0.027,0.0204,0.0349,0
December 1991,0.0826,0.0671,0.1002,0
January 1992,0.1032,0.0841,0.1247,0
February 1992,0.0392,0.0307,0.049,0
March 1992,0.0297,0.0226,0.038,0
April 1992,0.044,0.034,0.0556,1
May 1992,0.0298,0.0223,0.039,1
June 1992,0.0435,0.033,0.0564,1
July 1992,0.1105,0.0896,0.1342,1
August 1992,0.1862,0.1569,0.2188,1
September 1992,0.6046,0.5093,0.6873,1
October 1992,0.8972,0.8197,0.9389,1
November 1992,0.6021,0.5275,0.6711,1
December 1992,0.5276,0.4589,0.593,1
January 1993,0.4099,0.3395,0.4871,1
February 1993,0.4434,0.3747,0.515,1
March 1993,0.2726,0.2108,0.3501,1
April 1993,0.2935,0.2239,0.3821,0
May 1993,0.3502,0.278,0.4389,0
June 1993,0.3632,0.2834,0.4613,0
July 1993,0.3416,0.267,0.4342,0
August 1993,0.4819,0.4075,0.5576,0
September 1993,0.2093,0.1642,0.2665,0
October 1993,0.15,0.1124,0.2006,0
November 1993,0.0997,0.0745,0.133,0
December 1993,0.0571,0.0423,0.0772,0
January 1994,0.0334,0.0248,0.0445,0
February 1994,0.03,0.0223,0.0397,0
March 1994,0.0292,0.022,0.0378,0
April 1994,0.0099,0.007,0.0138,0
May 1994,0.0079,0.0055,0.0111,0
June 1994,0.009,0.0064,0.0127,0
July 1994,0.0093,0.0066,0.0131,0
August 1994,0.0052,0.0035,0.0077,0
September 1994,0.0034,0.0022,0.0054,0
October 1994,0.0025,0.0015,0.0041,0
November 1994,0.0026,0.0016,0.0043,0
December 1994,0.0026,0.0017,0.0043,0
January 1995,0.0023,0.0014,0.0038,0
February 1995,0.0036,0.0023,0.0056,0
March 1995,0.013,0.0083,0.0195,0
April 1995,0.0121,0.0077,0.0183,0
May 1995,0.01,0.0064,0.0152,0
June 1995,0.0101,0.0069,0.0146,0
July 1995,0.0078,0.0054,0.0112,0
August 1995,0.0106,0.0075,0.0146,0
September 1995,0.0292,0.0224,0.0374,0
October 1995,0.063,0.0508,0.0764,0
November 1995,0.0681,0.054,0.0838,0
December 1995,0.1531,0.126,0.1847,0
January 1996,0.0795,0.0619,0.1004,0
February 1996,0.0538,0.0402,0.0718,0
March 1996,0.0452,0.0336,0.0604,0
April 1996,0.0377,0.0278,0.0509,0
May 1996,0.0653,0.0483,0.0888,0
June 1996,0.067,0.0495,0.0913,0
July 1996,0.086,0.0644,0.1149,0
August 1996,0.0574,0.0425,0.0778,0
September 1996,0.0405,0.0299,0.0548,0
October 1996,0.031,0.0228,0.0419,0
November 1996,0.0317,0.0234,0.0424,0
December 1996,0.031,0.0231,0.0408,0
January 1997,0.0172,0.0126,0.0232,0
February 1997,0.0143,0.0103,0.0196,0
March 1997,0.0166,0.0121,0.0224,0
April 1997,0.0149,0.0108,0.0204,0
May 1997,0.0133,0.0097,0.0182,0
June 1997,0.0088,0.0062,0.0124,0
July 1997,0.0078,0.0054,0.0111,0
August 1997,0.0067,0.0046,0.0097,0
September 1997,0.0051,0.0034,0.0075,0
October 1997,0.0056,0.0038,0.0082,0
November 1997,0.0069,0.0047,0.0101,0
December 1997,0.0036,0.0023,0.0055,0
January 1998,0.003,0.002,0.0047,0
February 1998,0.0026,0.0016,0.0041,0
March 1998,0.0016,0.001,0.0028,0
April 1998,0.0021,0.0013,0.0035,0
May 1998,0.0021,0.0013,0.0034,0
June 1998,0.0013,0.0008,0.0023,0
July 1998,0.0012,0.0007,0.0021,0
August 1998,0.0019,0.0012,0.0032,0
September 1998,0.0073,0.0045,0.0115,0
October 1998,0.0201,0.013,0.0298,0
November 1998,0.0181,0.0123,0.0258,0
December 1998,0.0165,0.0119,0.0226,0
January 1999,0.0119,0.0086,0.0163,0
February 1999,0.0074,0.0051,0.0105,0
March 1999,0.0095,0.0068,0.0134,0
April 1999,0.0065,0.0045,0.0094,0
May 1999,0.0055,0.0037,0.0081,0
