Time,RecessionRisk_p50,RecessionRisk_p05,RecessionRisk_p95,Recession
January 1986,0.1339,0.0725,0.2117,0
February 1986,0.1894,0.1246,0.2596,0
March 1986,0.1006,0.064,0.1439,0
April 1986,0.2626,0.1927,0.3413,0
May 1986,0.1478,0.0992,0.2011,0
June 1986,0.036,0.0185,0.0601,0
July 1986,0.0323,0.0162,0.0551,0
August 1986,0.0104,0.0043,0.0207,0
September 1986,0.0103,0.0043,0.0204,0
October 1986,0.0096,0.0038,0.0194,0
November 1986,0.0071,0.0027,0.0148,0
December 1986,0.0029,0.0009,0.0071,0
January 1987,0.0043,0.0015,0.0098,0
February 1987,0.0106,0.0044,0.0209,0
March 1987,0.0053,0.0019,0.0117,0
April 1987,0.0128,0.0054,0.0255,0
May 1987,0.0016,0.0005,0.0043,0
June 1987,0.0021,0.0006,0.0054,0
July 1987,0.0024,0.0007,0.006,0
August 1987,0.0017,0.0005,0.0047,0
September 1987,0.002,0.0005,0.0052,0
October 1987,0.0021,0.0006,0.0055,0
November 1987,0.0207,0.008,0.0452,0
December 1987,0.0044,0.0013,0.0116,0
January 1988,0.003,0.0008,0.0086,0
February 1988,0.0019,0.0005,0.0053,0
March 1988,0.001,0.0002,0.003,0
April 1988,0.0016,0.0004,0.0044,0
May 1988,0.0005,0.0001,0.0017,0
June 1988,0.0003,0.0001,0.0011,0
July 1988,0.0006,0.0001,0.0019,0
August 1988,0.0005,0.0001,0.0017,0
September 1988,0.0001,0,0.0005,0
October 1988,0,0,0.0002,0
November 1988,0.0001,0,0.0002,0
December 1988,0.0001,0,0.0005,0
January 1989,0.0001,0,0.0006,0
February 1989,0.0002,0,0.0006,0
March 1989,0.001,0.0002,0.0028,0
April 1989,0.001,0.0002,0.0028,0
May 1989,0.0018,0.0005,0.0047,0
June 1989,0.0007,0.0002,0.0022,0
July 1989,0.0005,0.0001,0.0017,0
August 1989,0.0006,0.0001,0.0018,0
September 1989,0.0006,0.0001,0.0017,0
October 1989,0.0011,0.0003,0.0031,0
November 1989,0.0013,0.0003,0.0035,0
December 1989,0.0004,0.0001,0.0014,0
January 1990,0.0004,0.0001,0.0013,0
February 1990,0.0016,0.0004,0.0042,0
March 1990,0.0012,0.0003,0.0033,0
April 1990,0.0006,0.0001,0.0017,0
May 1990,0.0022,0.0006,0.0055,0
June 1990,0.007,0.0026,0.0147,0
July 1990,0.0185,0.0083,0.0355,0
August 1990,0.0352,0.0185,0.0585,0
September 1990,0.1066,0.0629,0.1693,0
October 1990,0.3036,0.2152,0.386,0
November 1990,0.0736,0.0425,0.1124,0
December 1990,0.1333,0.0886,0.1838,0
January 1991,0.33,0.2451,0.4261,0
February 1991,0.374,0.2832,0.4674,0
March 1991,0.1373,0.0862,0.1954,0
April 1991,0.049,0.0265,0.0784,0
May 1991,0.0836,0.0458,0.1318,0
June 1991,0.0545,0.0276,0.0922,0
July 1991,0.0564,0.0311,0.0894,0
August 1991,0.0982,0.063,0.143,0
September 1991,0.1418,0.0951,0.1933,0
October 1991,0.0778,0.0444,0.1179,0
November 1991,0.0717,0.0438,0.1063,0
December 1991,0.2125,0.1503,0.2788,0
January 1992,0.3021,0.2227,0.3847,0
February 1992,0.1545,0.105,0.2091,0
March 1992,0.0531,0.029,0.0832,0
April 1992,0.0766,0.044,0.1165,1
May 1992,0.0538,0.0292,0.0865,1
June 1992,0.207,0.1339,0.2863,1
July 1992,0.7922,0.6788,0.8743,1
August 1992,0.8234,0.7145,0.9007,1
September 1992,0.994,0.9801,0.9985,1
October 1992,0.999,0.9952,0.9998,1
November 1992,0.9961,0.9865,0.9991,1
December 1992,0.9908,0.9748,0.9973,1
January 1993,0.993,0.9797,0.998,1
February 1993,0.9875,0.967,0.9963,1
March 1993,0.9714,0.9344,0.9897,1
April 1993,0.9705,0.9297,0.99,1
May 1993,0.863,0.7571,0.9357,1
June 1993,0.9528,0.8897,0.985,1
July 1993,0.8449,0.6933,0.9387,1
August 1993,0.7763,0.5992,0.9003,1
September 1993,0.8474,0.6995,0.9392,1
October 1993,0.5479,0.339,0.7458,0
November 1993,0.4061,0.2869,0.5261,0
December 1993,0.628,0.4753,0.7612,0
January 1994,0.3405,0.1976,0.4967,0
February 1994,0.0766,0.0397,0.1274,0
March 1994,0.0229,0.0107,0.0417,0
April 1994,0.0249,0.0121,0.0434,0
May 1994,0.024,0.012,0.042,0
June 1994,0.0239,0.0112,0.0433,0
July 1994,0.0044,0.0014,0.0105,0
August 1994,0.0064,0.0021,0.0147,0
September 1994,0.001,0.0002,0.003,0
October 1994,0.0017,0.0004,0.0048,0
November 1994,0.0014,0.0003,0.004,0
December 1994,0.0018,0.0004,0.0054,0
January 1995,0.0034,0.0009,0.0097,0
February 1995,0.0006,0.0001,0.0022,0
March 1995,0.0753,0.0166,0.2585,0
April 1995,0.0188,0.0044,0.0692,0
May 1995,0.0134,0.0038,0.0377,0
June 1995,0.0088,0.0023,0.0263,0
July 1995,0.0011,0.0002,0.0036,0
August 1995,0.005,0.0017,0.0117,0
September 1995,0.0023,0.0006,0.0062,0
October 1995,0.0269,0.0113,0.0546,0
November 1995,0.0529,0.0272,0.092,0
December 1995,0.0151,0.0068,0.0284,0
January 1996,0.0326,0.0173,0.0541,0
February 1996,0.4519,0.3352,0.5797,0
March 1996,0.1939,0.1364,0.2555,0
April 1996,0.155,0.0931,0.2258,0
May 1996,0.1525,0.09,0.2257,0
June 1996,0.0773,0.0412,0.1259,0
July 1996,0.0772,0.0422,0.1212,0
August 1996,0.0554,0.0291,0.0902,0
September 1996,0.0606,0.0298,0.1048,0
October 1996,0.0087,0.0034,0.0176,0
November 1996,0.0217,0.0102,0.039,0
December 1996,0.0277,0.0134,0.0489,0
January 1997,0.0268,0.0128,0.0484,0
February 1997,0.0201,0.0091,0.0379,0
March 1997,0.0327,0.0164,0.0578,0
