Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80
January 1985,0.0593,0.0474,0.0737
February 1985,0.0704,0.0575,0.0864
March 1985,0.0992,0.0838,0.1165
April 1985,0.0757,0.0627,0.0906
May 1985,0.052,0.0417,0.064
June 1985,0.0658,0.0533,0.0811
July 1985,0.0691,0.0565,0.0846
August 1985,0.0445,0.0349,0.0561
September 1985,0.0378,0.0295,0.0478
October 1985,0.0326,0.0253,0.041
November 1985,0.0271,0.0206,0.0354
December 1985,0.0265,0.0201,0.0346
January 1986,0.0233,0.0175,0.0306
February 1986,0.0285,0.0219,0.0361
March 1986,0.043,0.034,0.0529
April 1986,0.0351,0.0274,0.0439
May 1986,0.035,0.0274,0.0438
June 1986,0.0278,0.0214,0.0352
July 1986,0.0279,0.0212,0.0354
August 1986,0.0266,0.0204,0.0338
September 1986,0.0271,0.0208,0.0346
October 1986,0.0297,0.0228,0.0379
November 1986,0.0316,0.0245,0.0398
December 1986,0.0265,0.0201,0.0346
January 1987,0.0535,0.0431,0.0651
February 1987,0.1017,0.0826,0.122
March 1987,0.0597,0.0486,0.072
April 1987,0.0501,0.0403,0.0612
May 1987,0.043,0.034,0.0536
June 1987,0.0582,0.0471,0.0712
July 1987,0.048,0.0382,0.0596
August 1987,0.0364,0.0281,0.0468
September 1987,0.0249,0.0187,0.0328
October 1987,0.0347,0.0271,0.0433
November 1987,0.0718,0.0541,0.0902
December 1987,0.0711,0.058,0.0852
January 1988,0.0724,0.0592,0.0867
February 1988,0.0563,0.0456,0.0682
March 1988,0.0278,0.0213,0.0356
April 1988,0.0223,0.0168,0.029
May 1988,0.026,0.0198,0.0334
June 1988,0.0162,0.012,0.0216
July 1988,0.0205,0.0154,0.0266
August 1988,0.0128,0.0092,0.0174
September 1988,0.01,0.007,0.014
October 1988,0.0077,0.0052,0.011
November 1988,0.0085,0.0058,0.0121
December 1988,0.0085,0.0058,0.0121
January 1989,0.0099,0.0068,0.0139
February 1989,0.0094,0.0065,0.0131
March 1989,0.0083,0.0057,0.0116
April 1989,0.0078,0.0053,0.0111
May 1989,0.0058,0.0039,0.0083
June 1989,0.0045,0.003,0.0066
July 1989,0.0045,0.0029,0.0066
August 1989,0.0049,0.0032,0.0072
September 1989,0.0045,0.0029,0.0067
October 1989,0.0045,0.003,0.0065
November 1989,0.0039,0.0025,0.0057
December 1989,0.0031,0.002,0.0047
January 1990,0.0034,0.0022,0.005
February 1990,0.0041,0.0026,0.006
March 1990,0.0029,0.0018,0.0044
April 1990,0.0022,0.0013,0.0034
May 1990,0.0024,0.0015,0.0038
June 1990,0.0022,0.0014,0.0035
July 1990,0.0018,0.0011,0.0028
August 1990,0.0019,0.0012,0.0029
September 1990,0.0022,0.0013,0.0033
October 1990,0.0027,0.0017,0.004
November 1990,0.002,0.0012,0.003
December 1990,0.0026,0.0017,0.004
January 1991,0.0125,0.009,0.0168
February 1991,0.0192,0.0144,0.0252
March 1991,0.0405,0.0319,0.0506
April 1991,0.0382,0.0299,0.0479
May 1991,0.0354,0.0275,0.0452
June 1991,0.0354,0.0273,0.0455
July 1991,0.0877,0.0722,0.1067
August 1991,0.1232,0.1045,0.1444
September 1991,0.1115,0.0941,0.1316
October 1991,0.0852,0.0702,0.1036
November 1991,0.1049,0.087,0.1266
December 1991,0.0939,0.0775,0.1139
January 1992,0.1191,0.1004,0.1417
February 1992,0.1387,0.1174,0.1638
March 1992,0.2049,0.1744,0.2398
April 1992,0.2788,0.2408,0.3223
May 1992,0.3248,0.2824,0.3733
June 1992,0.2764,0.239,0.3192
July 1992,0.2782,0.2434,0.3163
August 1992,0.4734,0.4264,0.5226
September 1992,0.7121,0.6598,0.7626
October 1992,0.8622,0.8201,0.8984
November 1992,0.8992,0.8683,0.9284
December 1992,0.8777,0.8421,0.9121
January 1993,0.8707,0.8331,0.9071
February 1993,0.875,0.8385,0.9101
March 1993,0.8885,0.8536,0.9216
April 1993,0.8646,0.8252,0.9026
May 1993,0.8592,0.819,0.8983
June 1993,0.8412,0.7982,0.8833
July 1993,0.8776,0.8404,0.9133
August 1993,0.7854,0.7365,0.8355
September 1993,0.7444,0.6926,0.7983
October 1993,0.7803,0.7309,0.8307
November 1993,0.6824,0.6267,0.741
December 1993,0.6468,0.5908,0.707
January 1994,0.6122,0.5569,0.6723
February 1994,0.5103,0.4572,0.5696
March 1994,0.3889,0.3429,0.4421
April 1994,0.2424,0.2076,0.2818
May 1994,0.1604,0.1349,0.1903
June 1994,0.1043,0.0865,0.126
July 1994,0.0937,0.0772,0.1137
August 1994,0.0674,0.0542,0.0837
September 1994,0.048,0.0376,0.0609
October 1994,0.0272,0.0205,0.0356
November 1994,0.0313,0.0238,0.0407
December 1994,0.0323,0.0245,0.042
January 1995,0.0355,0.0273,0.0458
February 1995,0.0406,0.0315,0.0519
March 1995,0.0416,0.0327,0.0523
April 1995,0.0172,0.0126,0.023
May 1995,0.0156,0.0113,0.0212
June 1995,0.0161,0.0116,0.0219
July 1995,0.0156,0.0112,0.0213
August 1995,0.0187,0.0137,0.0252
September 1995,0.024,0.018,0.0316
