Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80
January 1985,0.0562,0.0428,0.0724
February 1985,0.073,0.0557,0.0928
March 1985,0.1489,0.1208,0.1788
April 1985,0.103,0.0809,0.1277
May 1985,0.0664,0.0501,0.0852
June 1985,0.0741,0.0562,0.0947
July 1985,0.0714,0.0544,0.0908
August 1985,0.0552,0.0415,0.0716
September 1985,0.0356,0.0264,0.0468
October 1985,0.0358,0.0273,0.0463
November 1985,0.0282,0.0209,0.0373
December 1985,0.0338,0.0253,0.0443
January 1986,0.0284,0.0212,0.0373
February 1986,0.0254,0.0189,0.0335
March 1986,0.0434,0.0338,0.0551
April 1986,0.0595,0.047,0.0743
May 1986,0.0266,0.0199,0.0351
June 1986,0.0248,0.0184,0.0326
July 1986,0.0233,0.0173,0.0309
August 1986,0.0161,0.0114,0.022
September 1986,0.0127,0.0088,0.0179
October 1986,0.0152,0.0107,0.021
November 1986,0.0154,0.0108,0.0213
December 1986,0.012,0.0083,0.0171
January 1987,0.0197,0.0143,0.0266
February 1987,0.0507,0.04,0.0633
March 1987,0.0162,0.0114,0.0223
April 1987,0.0139,0.0097,0.0196
May 1987,0.0115,0.0078,0.0165
June 1987,0.0159,0.0111,0.0222
July 1987,0.0124,0.0085,0.0176
August 1987,0.0081,0.0054,0.012
September 1987,0.0052,0.0033,0.0081
October 1987,0.008,0.0053,0.0117
November 1987,0.0259,0.0189,0.0349
December 1987,0.0179,0.0129,0.0244
January 1988,0.0193,0.0138,0.0264
February 1988,0.0125,0.0087,0.0175
March 1988,0.0053,0.0034,0.008
April 1988,0.0048,0.0031,0.0073
May 1988,0.004,0.0025,0.0063
June 1988,0.0026,0.0015,0.0041
July 1988,0.0028,0.0017,0.0045
August 1988,0.0017,0.001,0.0029
September 1988,0.0011,0.0006,0.002
October 1988,0.0006,0.0003,0.0011
November 1988,0.0007,0.0004,0.0013
December 1988,0.0008,0.0004,0.0015
January 1989,0.0008,0.0004,0.0015
February 1989,0.0008,0.0004,0.0014
March 1989,0.0009,0.0005,0.0017
April 1989,0.001,0.0005,0.0017
May 1989,0.0009,0.0005,0.0016
June 1989,0.0005,0.0003,0.001
July 1989,0.0005,0.0003,0.001
August 1989,0.0006,0.0003,0.0011
September 1989,0.0006,0.0003,0.0012
October 1989,0.0008,0.0004,0.0014
November 1989,0.0008,0.0004,0.0015
December 1989,0.0005,0.0003,0.001
January 1990,0.0007,0.0004,0.0013
February 1990,0.0011,0.0006,0.0019
March 1990,0.0009,0.0004,0.0015
April 1990,0.0008,0.0004,0.0015
May 1990,0.0012,0.0007,0.0021
June 1990,0.0011,0.0006,0.002
July 1990,0.0013,0.0007,0.0023
August 1990,0.002,0.0012,0.0033
September 1990,0.0033,0.002,0.0052
October 1990,0.0066,0.0043,0.0097
November 1990,0.004,0.0025,0.0062
December 1990,0.0066,0.0043,0.0097
January 1991,0.0406,0.0311,0.0524
February 1991,0.0611,0.0492,0.0753
March 1991,0.042,0.0325,0.0534
April 1991,0.0382,0.0289,0.0495
May 1991,0.0351,0.0263,0.0458
June 1991,0.0339,0.025,0.045
July 1991,0.0651,0.0509,0.082
August 1991,0.0828,0.0676,0.1006
September 1991,0.0857,0.0699,0.1041
October 1991,0.0599,0.0461,0.0764
November 1991,0.0576,0.0446,0.0731
December 1991,0.0626,0.0486,0.0793
January 1992,0.1293,0.1085,0.1528
February 1992,0.0791,0.0639,0.0971
March 1992,0.0919,0.0718,0.1144
April 1992,0.1494,0.1185,0.1826
May 1992,0.157,0.1253,0.191
June 1992,0.2036,0.1654,0.2429
July 1992,0.3811,0.3265,0.4373
August 1992,0.5344,0.4724,0.5953
September 1992,0.9189,0.8802,0.9452
October 1992,0.9836,0.9698,0.991
November 1992,0.9477,0.9241,0.9674
December 1992,0.9173,0.8823,0.9468
January 1993,0.9553,0.9331,0.9734
February 1993,0.9467,0.9222,0.9674
March 1993,0.924,0.8896,0.9522
April 1993,0.8953,0.8468,0.9326
