Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80
February 1985,0.1308,0.1008,0.1686
March 1985,0.2219,0.1766,0.2809
April 1985,0.1314,0.1033,0.1659
May 1985,0.153,0.1184,0.1979
June 1985,0.0934,0.0709,0.1211
July 1985,0.1643,0.1264,0.2136
August 1985,0.2058,0.1663,0.2535
September 1985,0.1194,0.0938,0.1504
October 1985,0.0555,0.0444,0.0688
November 1985,0.0225,0.0164,0.0304
December 1985,0.0247,0.0182,0.033
January 1986,0.048,0.038,0.0604
February 1986,0.0445,0.0347,0.0564
March 1986,0.0845,0.0649,0.1076
April 1986,0.0729,0.057,0.0914
May 1986,0.0421,0.0329,0.0533
June 1986,0.1329,0.1095,0.1594
July 1986,0.0329,0.0252,0.0426
August 1986,0.0138,0.0097,0.0194
September 1986,0.0168,0.0118,0.0235
October 1986,0.0193,0.014,0.0263
November 1986,0.0156,0.0111,0.0217
December 1986,0.0153,0.0109,0.0213
January 1987,0.0197,0.0144,0.0267
February 1987,0.0308,0.0234,0.04
March 1987,0.0178,0.0128,0.0243
April 1987,0.0074,0.0048,0.0112
May 1987,0.0159,0.0114,0.0221
June 1987,0.0247,0.0184,0.0329
July 1987,0.0132,0.0093,0.0187
August 1987,0.0089,0.0059,0.0132
September 1987,0.0056,0.0035,0.0087
October 1987,0.0092,0.0055,0.0145
November 1987,0.067,0.0389,0.1065
December 1987,0.0294,0.0168,0.0459
January 1988,0.0404,0.021,0.0689
February 1988,0.0235,0.0127,0.0387
March 1988,0.0082,0.0044,0.0139
April 1988,0.0049,0.0026,0.0087
May 1988,0.0048,0.0026,0.0084
June 1988,0.0055,0.003,0.0094
July 1988,0.0029,0.0015,0.0053
August 1988,0.0021,0.0011,0.004
September 1988,0.0024,0.0012,0.0045
October 1988,0.0012,0.0006,0.0025
November 1988,0.0013,0.0006,0.0026
December 1988,0.001,0.0005,0.002
January 1989,0.001,0.0005,0.0021
February 1989,0.0009,0.0004,0.002
March 1989,0.0013,0.0006,0.0026
April 1989,0.0009,0.0004,0.0018
May 1989,0.0011,0.0005,0.0022
June 1989,0.0007,0.0003,0.0016
July 1989,0.0008,0.0004,0.0017
August 1989,0.001,0.0004,0.0019
September 1989,0.001,0.0005,0.0021
October 1989,0.0021,0.001,0.004
November 1989,0.0012,0.0006,0.0025
December 1989,0.0015,0.0007,0.0028
January 1990,0.0023,0.0012,0.0042
February 1990,0.0026,0.0014,0.0047
March 1990,0.0025,0.0013,0.0045
April 1990,0.0034,0.0019,0.0057
May 1990,0.003,0.0017,0.0051
June 1990,0.003,0.0017,0.0052
July 1990,0.003,0.0017,0.0052
August 1990,0.0202,0.013,0.0294
September 1990,0.0834,0.0612,0.1102
October 1990,0.1501,0.1145,0.1925
November 1990,0.0401,0.0314,0.0511
December 1990,0.0736,0.0603,0.0896
January 1991,0.2451,0.1929,0.3053
February 1991,0.2312,0.1943,0.2704
March 1991,0.188,0.1586,0.22
April 1991,0.1,0.0829,0.1194
May 1991,0.0708,0.0572,0.087
June 1991,0.0659,0.0533,0.0809
July 1991,0.0925,0.0764,0.1109
August 1991,0.1093,0.0905,0.1307
September 1991,0.0642,0.0516,0.0792
October 1991,0.0281,0.021,0.0369
November 1991,0.0282,0.0213,0.037
December 1991,0.0851,0.0694,0.1035
January 1992,0.1055,0.087,0.1268
February 1992,0.0412,0.032,0.0524
March 1992,0.0311,0.0237,0.0404
April 1992,0.0445,0.0347,0.0565
May 1992,0.0306,0.023,0.0403
June 1992,0.0435,0.0333,0.0563
July 1992,0.1072,0.0869,0.1304
August 1992,0.1798,0.1504,0.2121
September 1992,0.592,0.4973,0.681
October 1992,0.8885,0.8087,0.937
November 1992,0.5807,0.4998,0.6598
December 1992,0.4978,0.4213,0.5767
January 1993,0.3728,0.3003,0.462
February 1993,0.4094,0.3364,0.493
March 1993,0.2414,0.1822,0.3256
April 1993,0.2579,0.1904,0.3527
May 1993,0.3108,0.239,0.4106
June 1993,0.3178,0.2404,0.4297
July 1993,0.3001,0.2276,0.4049
August 1993,0.4433,0.3642,0.5343
September 1993,0.1903,0.1468,0.2479
October 1993,0.1365,0.1005,0.1844
November 1993,0.0932,0.0689,0.1238
December 1993,0.0555,0.0409,0.0737
January 1994,0.0338,0.0252,0.0448
February 1994,0.0305,0.0229,0.0406
March 1994,0.0303,0.0229,0.0395
April 1994,0.0111,0.0075,0.016
