Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80
Jan-86,0.1262,0.0986,0.1568
Feb-86,0.1837,0.1521,0.2174
Mar-86,0.1028,0.0833,0.1243
Apr-86,0.2615,0.2243,0.3003
May-86,0.1485,0.1233,0.176
Jun-86,0.0391,0.03,0.0501
Jul-86,0.0353,0.0268,0.5
Aug-86,0.0116,0.0082,0.0161
Sep-86,0.0113,0.0079,0.0158
Oct-86,0.0106,0.0074,0.0149
Nov-86,0.0077,0.0053,0.0112
Dec-86,0.0034,0.0022,0.0051
Jan-87,0.0049,0.0033,0.0073
Feb-87,0.0115,0.008,0.0162
Mar-87,0.0058,0.0039,0.0086
Apr-87,0.0136,0.0094,0.0191
May-87,0.0019,0.0012,0.003
Jun-87,0.0024,0.0016,0.0038
Jul-87,0.0027,0.0018,0.0042
Aug-87,0.0021,0.0013,0.0033
Sep-87,0.0024,0.0015,0.0037
Oct-87,0.0026,0.0016,0.004
Nov-87,0.0244,0.0175,0.0336
Dec-87,0.0055,0.0036,0.0082
Jan-88,0.0039,0.0025,0.0059
Feb-88,0.0024,0.0015,0.0037
Mar-88,0.0013,0.0008,0.002
Apr-88,0.002,0.0013,0.0031
May-88,0.0007,0.0004,0.0011
Jun-88,0.0004,0.0002,0.0007
Jul-88,0.0008,0.0004,0.0013
Aug-88,0.0007,0.0004,0.0011
Sep-88,0.0002,0.0001,0.0003
Oct-88,0.0001,0,0.0001
Nov-88,0.0001,0,0.0001
Dec-88,0.0002,0.0001,0.0003
Jan-89,0.0002,0.0001,0.0004
Feb-89,0.0002,0.0001,0.0004
Mar-89,0.0012,0.0007,0.0019
Apr-89,0.0012,0.0007,0.0019
May-89,0.0021,0.0013,0.0033
Jun-89,0.0009,0.0005,0.0015
Jul-89,0.0007,0.0004,0.0011
Aug-89,0.0007,0.0004,0.0012
Sep-89,0.0007,0.0004,0.0012
Oct-89,0.0013,0.0008,0.0021
Nov-89,0.0015,0.0009,0.0024
Dec-89,0.0005,0.0003,0.0009
Jan-90,0.0005,0.0003,0.0008
Feb-90,0.0018,0.0012,0.0029
Mar-90,0.0014,0.0009,0.0022
Apr-90,0.0007,0.0004,0.0012
May-90,0.0025,0.0016,0.0039
Jun-90,0.0076,0.0052,0.011
Jul-90,0.019,0.0133,0.0263
Aug-90,0.0372,0.0282,0.0479
Sep-90,0.1159,0.0929,0.1423
Oct-90,0.294,0.2528,0.336
Nov-90,0.074,0.0575,0.0924
Dec-90,0.1348,0.1112,0.1606
Jan-91,0.3318,0.2867,0.3772
Feb-91,0.3662,0.32,0.4121
Mar-91,0.1337,0.1083,0.1612
Apr-91,0.0501,0.0382,0.0637
May-91,0.0815,0.0627,0.1026
Jun-91,0.0539,0.0402,0.0699
Jul-91,0.0574,0.044,0.0727
Aug-91,0.1023,0.0834,0.1236
Sep-91,0.143,0.1187,0.1699
Oct-91,0.0771,0.0596,0.0962
Nov-91,0.0744,0.0591,0.0915
Dec-91,0.2107,0.1784,0.2448
Jan-92,0.2967,0.2562,0.3381
Feb-92,0.1553,0.1293,0.1837
Mar-92,0.0545,0.0418,0.0688
Apr-92,0.0762,0.0593,0.0952
