Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80,recession
July 1991,0.411,0.3526,0.472,0
August 1991,0.1812,0.1423,0.225,0
September 1991,0.1932,0.1607,0.2278,0
October 1991,0.1229,0.0903,0.1617,0
November 1991,0.16,0.1305,0.1915,0
December 1991,0.3255,0.283,0.371,0
January 1992,0.1858,0.151,0.2232,0
February 1992,0.1204,0.0953,0.1485,0
March 1992,0.2577,0.2012,0.321,0
April 1992,0.1974,0.1519,0.2484,1
May 1992,0.2907,0.2257,0.3639,1
June 1992,0.4318,0.3407,0.5276,1
July 1992,0.9685,0.942,0.9799,1
August 1992,0.9656,0.9418,0.9774,1
September 1992,0.9822,0.9622,0.9902,1
October 1992,0.9994,0.9979,0.9998,1
November 1992,0.9982,0.9954,0.9991,1
December 1992,0.998,0.9942,0.999,1
January 1993,0.9975,0.9911,0.999,1
February 1993,0.9948,0.9863,0.9974,1
March 1993,0.9942,0.9832,0.9973,1
April 1993,0.9855,0.9592,0.993,1
May 1993,0.9812,0.9571,0.9897,1
June 1993,0.9742,0.9417,0.9857,1
July 1993,0.9798,0.9476,0.9898,1
August 1993,0.9841,0.9621,0.9915,1
September 1993,0.9147,0.8604,0.9417,1
October 1993,0.7353,0.6164,0.821,0
November 1993,0.6572,0.5232,0.771,0
December 1993,0.4529,0.338,0.5802,0
January 1994,0.4213,0.3238,0.5284,0
February 1994,0.3191,0.2555,0.3884,0
March 1994,0.2223,0.1776,0.272,0
April 1994,0.0918,0.0707,0.1169,0
May 1994,0.0931,0.0718,0.1183,0
June 1994,0.0632,0.0465,0.0839,0
July 1994,0.0744,0.048,0.117,0
August 1994,0.0361,0.0242,0.0552,0
September 1994,0.0317,0.0196,0.0545,0
October 1994,0.0252,0.0153,0.0446,0
November 1994,0.0139,0.0083,0.0257,0
December 1994,0.0062,0.0034,0.0127,0
January 1995,0.0191,0.0116,0.0339,0
February 1995,0.0084,0.0048,0.0164,0
March 1995,0.0736,0.0416,0.1273,0
April 1995,0.0221,0.0114,0.0468,0
May 1995,0.0718,0.049,0.1069,0
June 1995,0.1473,0.1154,0.1832,0
July 1995,0.0349,0.0248,0.0497,0
August 1995,0.0265,0.0185,0.0392,0
September 1995,0.0314,0.0219,0.0462,0
October 1995,0.137,0.1072,0.1713,0
November 1995,0.0848,0.0633,0.1117,0
December 1995,0.0993,0.0689,0.1366,0
January 1996,0.1042,0.0719,0.1435,0
February 1996,0.1175,0.0818,0.1608,0
March 1996,0.1037,0.0749,0.1385,0
April 1996,0.0873,0.0606,0.121,0
May 1996,0.0603,0.0421,0.0859,0
June 1996,0.0438,0.0308,0.063,0
July 1996,0.0272,0.0186,0.0412,0
August 1996,0.0373,0.0259,0.0545,0
September 1996,0.0144,0.0095,0.0231,0
October 1996,0.0053,0.0032,0.0098,0
November 1996,0.0062,0.0038,0.0112,0
December 1996,0.0069,0.0043,0.0123,0
January 1997,0.0029,0.0016,0.0062,0
February 1997,0.0027,0.0015,0.0058,0
March 1997,0.0023,0.0013,0.005,0
April 1997,0.003,0.0017,0.0063,0
May 1997,0.0015,0.0007,0.0037,0
June 1997,0.002,0.001,0.0047,0
July 1997,0.0006,0.0003,0.0017,0
August 1997,0.0006,0.0003,0.0019,0
September 1997,0.0005,0.0002,0.0015,0
October 1997,0.0005,0.0002,0.0016,0
November 1997,0.0006,0.0002,0.0018,0
December 1997,0.0005,0.0002,0.0014,0
January 1998,0.0005,0.0002,0.0015,0
February 1998,0.0007,0.0003,0.0018,0
March 1998,0.0004,0.0002,0.0013,0
