Time,RecessionRisk_p50,RecessionRisk_p20,RecessionRisk_p80
January 1980,0.2543,0.212,0.2994
February 1980,0.02,0.0144,0.0278
March 1980,0.969,0.9444,0.9814
April 1980,1,0.9998,1
May 1980,1,1,1
June 1980,0.9999,0.9996,0.9999
July 1980,0.9839,0.9726,0.9911
August 1980,0.1846,0.1474,0.227
September 1980,0.0394,0.0298,0.0518
October 1980,0.0054,0.0035,0.0084
November 1980,0.002,0.0012,0.0034
December 1980,0.0807,0.0566,0.1124
January 1981,0.419,0.3382,0.5061
February 1981,0.2526,0.2053,0.3053
March 1981,0.101,0.0801,0.1258
April 1981,0.0103,0.0071,0.0151
May 1981,0.0063,0.0042,0.0096
June 1981,0.0643,0.0494,0.0829
July 1981,0.4396,0.3767,0.5044
August 1981,0.646,0.5471,0.7314
September 1981,0.9945,0.9875,0.9973
October 1981,0.9975,0.9941,0.9988
November 1981,0.9994,0.9984,0.9997
December 1981,0.996,0.9915,0.9979
January 1982,0.9905,0.9822,0.9946
February 1982,0.9986,0.9966,0.9993
March 1982,0.9997,0.9991,0.9999
April 1982,0.9965,0.9925,0.9982
May 1982,0.9987,0.997,0.9994
June 1982,0.9991,0.9978,0.9996
July 1982,0.9992,0.998,0.9997
August 1982,0.9999,0.9997,1
September 1982,0.9997,0.9991,0.9999
October 1982,0.9963,0.992,0.9981
November 1982,0.9882,0.9782,0.9932
December 1982,0.9507,0.9203,0.9682
January 1983,0.4004,0.3437,0.4596
February 1983,0.0061,0.004,0.0093
March 1983,0.0026,0.0016,0.0042
April 1983,0.001,0.0005,0.0018
May 1983,0.0003,0.0001,0.0006
June 1983,0.0001,0.0001,0.0003
July 1983,0,0,0
August 1983,0,0,0
September 1983,0,0,0
October 1983,0,0,0
November 1983,0,0,0
December 1983,0,0,0
January 1984,0,0,0.0001
February 1984,0,0,0.0001
March 1984,0.0002,0.0001,0.0004
April 1984,0,0,0.0001
May 1984,0.0003,0.0002,0.0006
June 1984,0.0012,0.0007,0.0021
July 1984,0.0023,0.0014,0.0038
August 1984,0.0192,0.0136,0.027
September 1984,0.0129,0.0089,0.0189
October 1984,0.0081,0.0054,0.0124
November 1984,0.0086,0.0058,0.0132
December 1984,0.0063,0.0041,0.0099
January 1985,0.0061,0.0039,0.0097
February 1985,0.0069,0.0045,0.011
March 1985,0.0328,0.0235,0.0461
April 1985,0.037,0.0271,0.0503
May 1985,0.0647,0.0488,0.0857
June 1985,0.0387,0.0281,0.0531
July 1985,0.0295,0.0209,0.0419
August 1985,0.0299,0.021,0.0426
September 1985,0.026,0.0191,0.0355
October 1985,0.0314,0.0234,0.0421
November 1985,0.0024,0.0014,0.0041
December 1985,0.004,0.0025,0.0067
January 1986,0.0067,0.0045,0.0104
February 1986,0.0104,0.0072,0.0155
March 1986,0.0262,0.0193,0.0356
April 1986,0.0641,0.0499,0.0815
May 1986,0.0023,0.0014,0.0038
June 1986,0.0145,0.0102,0.0209
July 1986,0.0514,0.0386,0.0679
August 1986,0.0019,0.0011,0.0032
September 1986,0.0064,0.0043,0.0097
October 1986,0.0081,0.0055,0.0123
November 1986,0.0034,0.0021,0.0057
December 1986,0.0049,0.0031,0.008
January 1987,0.0009,0.0005,0.0016
February 1987,0.003,0.0019,0.005
March 1987,0.0005,0.0003,0.001
April 1987,0.0021,0.0013,0.0035
May 1987,0.0011,0.0006,0.002
June 1987,0.0005,0.0003,0.001
July 1987,0.0001,0.0001,0.0003
August 1987,0,0,0.0001
September 1987,0.0001,0,0.0001
October 1987,0.0007,0.0004,0.0014
November 1987,0.1401,0.0696,0.2696
December 1987,0.0125,0.0061,0.025
January 1988,0.1013,0.055,0.1822
February 1988,0.0155,0.0096,0.024
March 1988,0.0022,0.0013,0.0037
April 1988,0.005,0.0032,0.0078
May 1988,0.0016,0.001,0.0028
June 1988,0.0008,0.0004,0.0015
July 1988,0.0032,0.0018,0.0053
August 1988,0.005,0.0031,0.0078
